Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.0000","0.0000","-15.4079","0.0000","-0.5188"
"0.0200","0.0010","-15.2272","0.0067","-0.5127"
"0.0400","0.0152","-13.1014","0.1015","-0.4411"
"0.0600","0.0596","-7.0369","0.3973","-0.2369"
"0.0800","0.1412","1.0736","0.9413","0.0361"
"0.1000","0.2599","6.2683","1.7329","0.2111"
"0.1200","0.4135","10.1444","2.7566","0.3416"
"0.1400","0.5976","17.0154","3.9838","0.5729"
"0.1600","0.7969","25.4096","5.3125","0.8555"
"0.1800","0.9959","32.7513","6.6394","1.1027"
"0.2000","1.1933","35.7074","7.9554","1.2023"
"0.2200","1.3924","35.7759","9.2826","1.2046"
"0.2400","1.5940","35.2083","10.6266","1.1855"
"0.2600","1.7966","32.8943","11.9772","1.1076"
"0.2800","1.9986","34.0776","13.3241","1.1474"
"0.3000","2.1995","36.8957","14.6635","1.2423"
"0.3200","2.3996","42.5338","15.9976","1.4321"
"0.3400","2.5995","45.1848","17.3297","1.5214"
"0.3600","2.7993","48.1982","18.6623","1.6228"
"0.3800","2.9994","55.5348","19.9960","1.8699"
"0.4000","3.1995","67.4395","21.3301","2.2707"
"0.4200","3.3996","82.6003","22.6640","2.7812"
"0.4400","3.5996","102.6224","23.9975","3.4553"
"0.4600","3.7996","125.3760","25.3308","4.2214"
"0.4800","3.9996","147.3730","26.6642","4.9621"
"0.5000","4.1996","166.7336","27.9977","5.6139"
"0.5200","4.3997","183.7401","29.3310","6.1865"
"0.5400","4.5996","199.0918","30.6642","6.7034"
"0.5600","4.7996","213.8324","31.9974","7.1997"
"0.5800","4.9996","228.4563","33.3307","7.6921"
"0.6000","5.1996","243.0546","34.6640","8.1837"
"0.6200","5.3996","257.5936","35.9973","8.6732"
"0.6400","5.5996","272.0666","37.3306","9.1605"
"0.6600","5.7996","286.3766","38.6640","9.6423"
"0.6800","5.9996","300.4243","39.9974","10.1153"
"0.7000","6.1996","314.0046","41.3308","10.5725"
"0.7200","6.3996","327.0588","42.6641","11.0121"
"0.7400","6.5996","339.4796","43.9972","11.4303"
"0.7600","6.7996","351.4730","45.3305","11.8341"
"0.7800","6.9996","363.1537","46.6639","12.2274"
"0.8000","7.1996","374.3108","47.9974","12.6031"
"0.8200","7.3996","385.0721","49.3310","12.9654"
"0.8400","7.5997","395.4818","50.6645","13.3159"
"0.8600","7.7997","405.7356","51.9979","13.6611"
"0.8800","7.9997","415.7471","53.3311","13.9982"
"0.9000","8.1997","425.5136","54.6643","14.3271"
"0.9200","8.3996","435.1258","55.9976","14.6507"
"0.9400","8.5996","444.5440","57.3309","14.9678"
"0.9600","8.7996","453.7949","58.6643","15.2793"
"0.9800","8.9997","462.7839","59.9977","15.5819"
"1.0000","9.1997","471.5966","61.3312","15.8787"
"1.0200","9.3997","480.2441","62.6646","16.1698"
"1.0400","9.5997","488.7016","63.9980","16.4546"
"1.0600","9.7997","496.9244","65.3312","16.7315"
"1.0800","9.9996","505.0964","66.6642","17.0066"
"1.1000","10.1996","513.1057","67.9972","17.2763"
"1.1200","10.3996","520.9461","69.3306","17.5403"
"1.1400","10.5996","528.5270","70.6642","17.7955"
"1.1600","10.7996","536.0690","71.9976","18.0495"
"1.1800","10.9996","543.5721","73.3308","18.3021"
"1.2000","11.1996","550.7900","74.6639","18.5451"
"1.2200","11.3996","557.9411","75.9971","18.7859"
"1.2400","11.5996","565.0903","77.3305","19.0266"
"1.2600","11.7996","572.0228","78.6640","19.2600"
"1.2800","11.9996","578.9142","79.9975","19.4921"
"1.3000","12.1997","585.7543","81.3312","19.7224"
"1.3200","12.3997","592.4634","82.6648","19.9483"
"1.3400","12.5997","599.0398","83.9983","20.1697"
"1.3600","12.7997","605.6110","85.3315","20.3909"
"1.3800","12.9997","612.0405","86.6645","20.6074"
"1.4000","13.1996","618.4662","87.9976","20.8238"
"1.4200","13.3996","624.9047","89.3308","21.0406"
"1.4400","13.5996","631.2223","90.6641","21.2533"
"1.4600","13.7996","637.3539","91.9977","21.4597"
"1.4800","13.9997","643.5393","93.3312","21.6680"
"1.5000","14.1997","649.5201","94.6645","21.8694"
"1.5200","14.3996","655.4570","95.9977","22.0693"
"1.5400","14.5996","661.3600","97.3308","22.2680"
"1.5600","14.7996","667.3066","98.6641","22.4682"
"1.5800","14.9996","673.0840","99.9974","22.6628"
"1.5810","15.0096","673.3713","100.0641","22.6724"
