Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.0000","0.0000","6.4531","0.0000","0.0181"
"0.0200","0.0010","6.6968","0.0067","0.0188"
"0.0400","0.0152","9.3114","0.1012","0.0261"
"0.0600","0.0595","16.9421","0.3963","0.0475"
"0.0800","0.1409","29.6316","0.9392","0.0831"
"0.1000","0.2594","43.5714","1.7292","0.1223"
"0.1200","0.4127","50.1107","2.7512","0.1406"
"0.1400","0.5965","50.8688","3.9769","0.1427"
"0.1600","0.7956","49.7537","5.3042","0.1396"
"0.1800","0.9945","49.0328","6.6303","0.1376"
"0.2000","1.1919","48.9809","7.9462","0.1374"
"0.2200","1.3911","48.7981","9.2741","0.1369"
"0.2400","1.5928","51.6268","10.6187","0.1449"
"0.2600","1.7955","57.4861","11.9699","0.1613"
"0.2800","1.9975","60.0351","13.3169","0.1684"
"0.3000","2.1984","65.5396","14.6563","0.1839"
"0.3200","2.3986","76.0139","15.9904","0.2133"
"0.3400","2.5984","94.3078","17.3226","0.2646"
"0.3600","2.7983","119.3621","18.6551","0.3349"
"0.3800","2.9983","148.0487","19.9887","0.4154"
"0.4000","3.1984","176.9066","21.3228","0.4964"
"0.4200","3.3985","202.6023","22.6567","0.5685"
"0.4400","3.5985","225.0445","23.9902","0.6314"
"0.4600","3.7985","245.3682","25.3235","0.6885"
"0.4800","3.9986","264.3918","26.6570","0.7418"
"0.5000","4.1986","282.4096","27.9906","0.7924"
"0.5200","4.3986","299.5172","29.3240","0.8404"
"0.5400","4.5986","315.6580","30.6572","0.8857"
"0.5600","4.7986","330.7735","31.9904","0.9281"
"0.5800","4.9985","345.1128","33.3236","0.9683"
"0.6000","5.1985","358.7986","34.6568","1.0067"
"0.6200","5.3985","372.2057","35.9901","1.0443"
"0.6400","5.5985","385.2106","37.3235","1.0808"
"0.6600","5.7985","397.8841","38.6569","1.1164"
"0.6800","5.9985","410.2885","39.9903","1.1512"
"0.7000","6.1986","422.1848","41.3237","1.1846"
"0.7200","6.3985","433.6377","42.6570","1.2167"
"0.7400","6.5985","444.8515","43.9902","1.2482"
"0.7600","6.7985","456.0137","45.3235","1.2795"
"0.7800","6.9985","466.9504","46.6569","1.3102"
"0.8000","7.1986","477.8493","47.9904","1.3408"
"0.8200","7.3986","488.5223","49.3239","1.3707"
"0.8400","7.5986","498.9190","50.6574","1.3999"
"0.8600","7.7986","509.1862","51.9908","1.4287"
"0.8800","7.9986","519.3029","53.3240","1.4571"
"0.9000","8.1986","529.3976","54.6573","1.4854"
"0.9200","8.3986","539.5854","55.9906","1.5140"
"0.9400","8.5986","549.8388","57.3239","1.5428"
"0.9600","8.7986","560.0446","58.6572","1.5714"
"0.9800","8.9986","570.1205","59.9904","1.5997"
"1.0000","9.1986","579.9835","61.3239","1.6273"
"1.0200","9.3986","589.7190","62.6574","1.6547"
"1.0400","9.5986","599.2924","63.9908","1.6815"
"1.0600","9.7986","608.6392","65.3241","1.7077"
"1.0800","9.9986","617.7576","66.6571","1.7333"
"1.0810","10.0086","618.2081","66.7237","1.7346"
