Force,Compressive stress,Compressive strain (Displacement)
(N),(MPa),(%)
"-0.0020","0.0000","0.0000"
"0.0063","0.0000","0.0000"
"0.0135","0.0000","595.2863"
"0.0195","0.0000","6021.0072"
"0.0247","0.0000","30088.2111"
"0.0296","0.0000","102921.5454"
"0.0351","0.0000","276801.8799"
"0.0416","0.0000","630201.9043"
"0.0490","0.0000","1269321.5820"
"0.0569","0.0000","2327461.5234"
"0.0650","0.0000","3963331.6406"
"0.0730","0.0000","6358642.9688"
"0.0808","0.0000","9715025.7812"
"0.0884","0.0000","14251092.1875"
"0.0950","0.0000","20199876.5625"
"0.0999","0.0000","27806112.5000"
"0.1032","0.0000","37323750.0000"
"0.1057","0.0000","49014121.8750"
"0.1086","0.0000","63144325.0000"
"0.1126","0.0000","79985843.7500"
"0.1179","0.0000","99813275.0000"
"0.1237","0.0000","122902762.5000"
"0.1297","0.0000","149530862.5000"
"0.1361","0.0000","179973487.5000"
"0.1433","0.0000","214505100.0000"
"0.1513","0.0000","253397800.0000"
"0.1597","0.0000","296919700.0000"
"0.1676","0.0000","345334325.0000"
"0.1745","0.0000","398899525.0000"
"0.1800","0.0000","457867750.0000"
"0.1839","0.0000","522485300.0000"
"0.1867","0.0000","592991850.0000"
"0.1887","0.0000","669619200.0000"
"0.1899","0.0000","752591200.0000"
"0.1904","0.0000","842124300.0000"
"0.1901","0.0000","938427600.0000"
"0.1893","0.0000","1041702000.0000"
"0.1892","0.0000","1152141100.0000"
"0.1908","0.0000","1269930600.0000"
"0.1943","0.0000","1395248000.0000"
"0.1988","0.0000","1528262000.0000"
"0.2035","0.0000","1669132900.0000"
"0.2076","0.0000","1818013200.0000"
"0.2110","0.0000","1975047000.0000"
"0.2139","0.0000","2140371400.0000"
"0.2166","0.0000","2314113400.0000"
"0.2194","0.0000","2496392600.0000"
"0.2222","0.0000","2687321200.0000"
"0.2245","0.0000","2887004400.0000"
"0.2256","0.0000","3095540600.0000"
"0.2253","0.0000","3313020400.0000"
"0.2242","0.0000","3539526800.0000"
"0.2232","0.0000","3775136000.0000"
"0.2235","0.0000","4019916400.0000"
"0.2260","0.0000","4273933600.0000"
"0.2307","0.0000","4537246000.0000"
"0.2364","0.0000","4809907200.0000"
"0.2416","0.0000","5091964000.0000"
"0.2455","0.0000","5383457600.0000"
"0.2482","0.0000","5684426800.0000"
"0.2497","0.0000","5994903200.0000"
"0.2506","0.0000","6314914800.0000"
"0.2511","0.0000","6644486000.0000"
"0.2512","0.0000","6983637600.0000"
"0.2507","0.0000","7332384800.0000"
"0.2493","0.0000","7690741600.0000"
"0.2466","0.0000","8058716800.0000"
"0.2430","0.0000","8436315200.0000"
"0.2394","0.0000","8823540800.0000"
"0.2366","0.0000","9220396000.0000"
"0.2349","0.0000","9626879200.0000"
"0.2341","0.0000","10042984000.0000"
"0.2341","0.0000","10468707200.0000"
"0.2349","0.0000","10904042400.0000"
"0.2365","0.0000","11348978400.0000"
"0.2391","0.0000","11803504000.0000"
"0.2427","0.0000","12267607200.0000"
"0.2471","0.0000","12741275200.0000"
"0.2519","0.0000","13224493600.0000"
"0.2565","0.0000","13717244800.0000"
"0.2602","0.0000","14219512000.0000"
"0.2625","0.0000","14731278400.0000"
"0.2641","0.0000","15252523200.0000"
"0.2652","0.0000","15783225600.0000"
"0.2664","0.0000","16323363200.0000"
"0.2679","0.0000","16872913600.0000"
"0.2698","0.0000","17431852800.0000"
"0.2720","0.0000","18000158400.0000"
"0.2748","0.0000","18577806400.0000"
"0.2785","0.0000","19164771200.0000"
