Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.0000","0.0000","-0.4826","0.0000","-0.0013"
"0.0200","0.0010","-0.3214","0.0066","-0.0009"
"0.0400","0.0150","0.9915","0.1002","0.0027"
"0.0600","0.0589","4.3162","0.3928","0.0119"
"0.0800","0.1398","9.7997","0.9320","0.0271"
"0.1000","0.2576","16.6781","1.7175","0.0461"
"0.1200","0.4102","21.5403","2.7345","0.0595"
"0.1400","0.5937","22.2123","3.9579","0.0614"
"0.1600","0.7930","21.7799","5.2868","0.0602"
"0.1800","0.9921","21.4732","6.6142","0.0594"
"0.2000","1.1894","21.7118","7.9291","0.0600"
"0.2200","1.3882","21.8400","9.2549","0.0604"
"0.2400","1.5898","22.0869","10.5986","0.0610"
"0.2600","1.7924","25.3064","11.9496","0.0699"
"0.2800","1.9945","32.0433","13.2967","0.0886"
"0.3000","2.1954","39.8045","14.6360","0.1100"
"0.3200","2.3955","48.0762","15.9698","0.1329"
"0.3400","2.5953","56.0739","17.3020","0.1550"
"0.3600","2.7952","63.4177","18.6346","0.1753"
"0.3800","2.9952","70.6351","19.9682","0.1952"
"0.4000","3.1953","77.9678","21.3023","0.2155"
"0.4200","3.3954","85.0217","22.6362","0.2350"
"0.4400","3.5955","91.6871","23.9698","0.2534"
"0.4600","3.7955","97.9017","25.3033","0.2706"
"0.4800","3.9955","103.9061","26.6369","0.2872"
"0.5000","4.1956","109.5363","27.9704","0.3028"
"0.5200","4.3955","115.1348","29.3036","0.3182"
"0.5400","4.5955","120.7640","30.6367","0.3338"
"0.5600","4.7955","126.1917","31.9699","0.3488"
"0.5800","4.9955","131.0977","33.3032","0.3623"
"0.6000","5.1955","135.4622","34.6365","0.3744"
"0.6200","5.3955","139.7976","35.9699","0.3864"
"0.6400","5.5955","144.1891","37.3033","0.3985"
"0.6600","5.7955","148.6617","38.6368","0.4109"
"0.6800","5.9955","152.9722","39.9701","0.4228"
"0.7000","6.1955","157.1169","41.3033","0.4343"
"0.7200","6.3955","161.3151","42.6366","0.4459"
"0.7400","6.5955","165.5308","43.9700","0.4575"
"0.7600","6.7955","169.8946","45.3034","0.4696"
"0.7800","6.9955","174.2809","46.6367","0.4817"
"0.8000","7.1955","178.5684","47.9701","0.4936"
"0.8200","7.3955","182.8219","49.3036","0.5053"
"0.8400","7.5956","187.1128","50.6371","0.5172"
"0.8600","7.7955","191.4839","51.9703","0.5293"
"0.8800","7.9955","195.9244","53.3035","0.5415"
"0.9000","8.1955","200.3513","54.6369","0.5538"
"0.9200","8.3956","204.7648","55.9704","0.5660"
"0.9400","8.5956","209.1061","57.3038","0.5780"
"0.9600","8.7955","213.4393","58.6370","0.5899"
"0.9800","8.9955","217.9084","59.9702","0.6023"
"1.0000","9.1955","222.2771","61.3036","0.6144"
"1.0200","9.3955","226.9326","62.6370","0.6272"
"1.0400","9.5955","231.5125","63.9703","0.6399"
"1.0600","9.7955","236.1877","65.3035","0.6528"
"1.0800","9.9955","240.8892","66.6367","0.6658"
"1.1000","10.1955","245.7681","67.9700","0.6793"
"1.1200","10.3955","251.5542","69.3034","0.6953"
"1.1400","10.5955","257.2637","70.6366","0.7111"
"1.1600","10.7955","263.1378","71.9699","0.7273"
"1.1800","10.9955","269.1557","73.3032","0.7439"
"1.2000","11.1955","275.0602","74.6366","0.7603"
