Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.0000","0.0000","-0.0667","0.0000","-0.0002"
"0.0200","0.0010","0.1983","0.0067","0.0006"
"0.0400","0.0152","2.7385","0.1012","0.0077"
"0.0600","0.0594","10.0546","0.3962","0.0282"
"0.0800","0.1408","22.6708","0.9390","0.0636"
"0.1000","0.2593","39.1462","1.7287","0.1098"
"0.1200","0.4125","49.1774","2.7498","0.1380"
"0.1400","0.5962","51.3253","3.9744","0.1440"
"0.1600","0.7951","50.4146","5.3008","0.1415"
"0.1800","0.9940","49.6777","6.6265","0.1394"
"0.2000","1.1914","49.5531","7.9424","0.1390"
"0.2200","1.3906","49.4382","9.2704","0.1387"
"0.2400","1.5923","50.2856","10.6154","0.1411"
"0.2600","1.7950","57.4053","11.9669","0.1611"
"0.2800","1.9971","63.8535","13.3140","0.1792"
"0.3000","2.1980","70.1365","14.6534","0.1968"
"0.3200","2.3981","80.7779","15.9875","0.2266"
"0.3400","2.5979","99.0012","17.3196","0.2778"
"0.3600","2.7978","120.8669","18.6522","0.3391"
"0.3800","2.9979","143.1617","19.9859","0.4017"
"0.4000","3.1980","165.4265","21.3200","0.4642"
"0.4200","3.3981","186.1278","22.6539","0.5222"
"0.4400","3.5981","204.7599","23.9874","0.5745"
"0.4600","3.7981","221.6477","25.3208","0.6219"
"0.4800","3.9981","237.2264","26.6542","0.6656"
"0.5000","4.1982","251.9445","27.9877","0.7069"
"0.5200","4.3982","265.9636","29.3211","0.7463"
"0.5400","4.5982","279.2740","30.6544","0.7836"
"0.5600","4.7981","291.9051","31.9876","0.8190"
"0.5800","4.9981","303.5081","33.3208","0.8516"
"0.6000","5.1981","314.2119","34.6540","0.8816"
"0.6200","5.3981","324.4350","35.9873","0.9103"
"0.6400","5.5981","334.5235","37.3207","0.9386"
"0.6600","5.7981","344.2486","38.6541","0.9659"
"0.6800","5.9981","353.5106","39.9876","0.9919"
"0.7000","6.1981","362.4595","41.3209","1.0170"
"0.7200","6.3981","371.3275","42.6542","1.0419"
"0.7400","6.5981","380.1201","43.9873","1.0666"
"0.7600","6.7981","388.6577","45.3206","1.0905"
"0.7800","6.9981","396.7404","46.6540","1.1132"
"0.8000","7.1981","404.4560","47.9876","1.1348"
"0.8200","7.3982","411.9206","49.3211","1.1558"
"0.8400","7.5982","419.1429","50.6546","1.1760"
"0.8600","7.7982","426.2108","51.9880","1.1959"
"0.8800","7.9982","433.4925","53.3212","1.2163"
"0.9000","8.1982","440.8450","54.6544","1.2369"
"0.9200","8.3982","448.1627","55.9878","1.2575"
"0.9400","8.5982","455.1424","57.3211","1.2771"
"0.9600","8.7982","461.8808","58.6543","1.2960"
"0.9800","8.9981","468.5049","59.9877","1.3145"
"1.0000","9.1982","474.9879","61.3211","1.3327"
"1.0200","9.3982","481.2200","62.6546","1.3502"
"1.0400","9.5982","487.6313","63.9880","1.3682"
"1.0600","9.7982","494.1554","65.3212","1.3865"
"1.0800","9.9981","500.7572","66.6543","1.4050"
"1.1000","10.1981","507.4578","67.9873","1.4238"
"1.1200","10.3981","514.0941","69.3206","1.4425"
"1.1400","10.5981","520.4546","70.6542","1.4603"
"1.1600","10.7981","526.5411","71.9876","1.4774"
"1.1800","10.9981","532.2283","73.3208","1.4933"
"1.2000","11.1981","537.7694","74.6539","1.5089"
"1.2200","11.3981","543.3000","75.9872","1.5244"
"1.2400","11.5981","548.7390","77.3207","1.5397"
"1.2600","11.7981","554.3454","78.6541","1.5554"
"1.2800","11.9981","560.2000","79.9876","1.5718"
"1.3000","12.1982","566.2798","81.3212","1.5889"
"1.3200","12.3982","572.4321","82.6549","1.6062"
"1.3400","12.5982","578.5098","83.9883","1.6232"
"1.3600","12.7982","584.4542","85.3215","1.6399"
"1.3800","12.9982","590.2169","86.6546","1.6561"
"1.4000","13.1981","595.9747","87.9876","1.6722"
"1.4200","13.3981","601.6284","89.3208","1.6881"
"1.4400","13.5981","607.3065","90.6542","1.7040"
"1.4600","13.7982","613.2010","91.9877","1.7205"
"1.4800","13.9982","619.2730","93.3212","1.7376"
"1.5000","14.1982","625.4057","94.6545","1.7548"
"1.5200","14.3982","631.3974","95.9877","1.7716"
"1.5400","14.5981","637.2651","97.3209","1.7881"
"1.5600","14.7981","643.1522","98.6541","1.8046"
"1.5800","14.9981","648.9882","99.9874","1.8210"
"1.5810","15.0081","649.2900","100.0541","1.8218"
