Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.0000","0.0000","0.0177","0.0000","0.0003"
"0.0200","0.0010","0.3812","0.0015","0.0056"
"0.0400","0.0152","1.0257","0.0223","0.0150"
"0.0600","0.0593","1.4743","0.0873","0.0215"
"0.0800","0.1406","1.5543","0.2067","0.0227"
"0.1000","0.2587","1.9753","0.3804","0.0288"
"0.1200","0.4115","2.7175","0.6052","0.0396"
"0.1400","0.5951","3.0149","0.8752","0.0439"
"0.1600","0.7943","3.2674","1.1681","0.0476"
"0.1800","0.9933","4.1277","1.4608","0.0602"
"0.2000","1.1907","5.2193","1.7510","0.0761"
"0.2200","1.3897","6.1294","2.0437","0.0893"
"0.2400","1.5914","6.8968","2.3403","0.1005"
"0.2600","1.7940","7.8809","2.6383","0.1149"
"0.2800","1.9960","8.9762","2.9353","0.1308"
"0.3000","2.1968","9.6599","3.2305","0.1408"
"0.3200","2.3968","10.6175","3.5247","0.1548"
"0.3400","2.5967","11.6371","3.8186","0.1696"
"0.3600","2.7966","12.3917","4.1126","0.1806"
"0.3800","2.9967","13.2802","4.4069","0.1936"
"0.4000","3.1968","14.2569","4.7012","0.2078"
"0.4200","3.3969","15.0804","4.9955","0.2198"
"0.4400","3.5970","15.8431","5.2897","0.2309"
"0.4600","3.7970","16.7587","5.5839","0.2443"
"0.4800","3.9970","17.5371","5.8780","0.2556"
"0.5000","4.1971","18.2107","6.1721","0.2655"
"0.5200","4.3971","19.0323","6.4663","0.2774"
"0.5400","4.5971","19.9883","6.7604","0.2914"
"0.5600","4.7971","20.7647","7.0546","0.3027"
"0.5800","4.9971","21.4551","7.3487","0.3128"
"0.6000","5.1970","22.3607","7.6427","0.3260"
"0.6200","5.3970","23.1547","7.9368","0.3375"
"0.6400","5.5970","23.9157","8.2310","0.3486"
"0.6600","5.7970","24.8267","8.5251","0.3619"
"0.6800","5.9970","25.6292","8.8192","0.3736"
"0.7000","6.1970","26.3803","9.1133","0.3846"
"0.7200","6.3970","27.1303","9.4074","0.3955"
"0.7400","6.5970","28.0109","9.7015","0.4083"
"0.7600","6.7970","28.7580","9.9956","0.4192"
"0.7800","6.9970","29.3509","10.2896","0.4279"
"0.8000","7.1970","30.2483","10.5838","0.4409"
"0.8200","7.3970","30.9578","10.8779","0.4513"
"0.8400","7.5970","31.5901","11.1720","0.4605"
"0.8600","7.7970","32.3792","11.4662","0.4720"
"0.8800","7.9970","33.1166","11.7603","0.4827"
"0.9000","8.1970","33.8175","12.0544","0.4930"
"0.9200","8.3970","34.4989","12.3486","0.5029"
"0.9400","8.5970","35.2007","12.6427","0.5131"
"0.9600","8.7970","35.9260","12.9368","0.5237"
"0.9800","8.9971","36.6702","13.2310","0.5346"
"1.0000","9.1971","37.4069","13.5251","0.5453"
"1.0200","9.3971","38.1211","13.8192","0.5557"
"1.0400","9.5971","38.7819","14.1133","0.5653"
"1.0600","9.7970","39.5472","14.4074","0.5765"
"1.0800","9.9970","40.1818","14.7015","0.5857"
"1.1000","10.1970","40.8726","14.9956","0.5958"
"1.1200","10.3970","41.5480","15.2897","0.6057"
"1.1400","10.5970","42.2226","15.5839","0.6155"
"1.1600","10.7970","42.8135","15.8780","0.6241"
"1.1800","10.9971","43.4936","16.1721","0.6340"
"1.2000","11.1970","44.2454","16.4662","0.6450"
"1.2200","11.3970","44.9359","16.7603","0.6550"
"1.2400","11.5970","45.5464","17.0544","0.6639"
"1.2600","11.7970","46.1434","17.3485","0.6726"
"1.2800","11.9970","46.7600","17.6426","0.6816"
"1.3000","12.1970","47.2893","17.9368","0.6893"
"1.3200","12.3970","48.0141","18.2309","0.6999"
"1.3400","12.5970","48.8090","18.5250","0.7115"
"1.3600","12.7970","49.4580","18.8191","0.7210"
"1.3800","12.9970","50.0411","19.1132","0.7295"
"1.4000","13.1970","50.6198","19.4073","0.7379"
"1.4200","13.3970","51.2064","19.7014","0.7464"
"1.4400","13.5970","51.7691","19.9956","0.7547"
"1.4600","13.7971","52.4006","20.2898","0.7639"
"1.4800","13.9971","53.1250","20.5839","0.7744"
"1.5000","14.1971","53.7210","20.8781","0.7831"
"1.5200","14.3971","54.2609","21.1722","0.7910"
"1.5400","14.5970","54.9517","21.4662","0.8010"
"1.5600","14.7970","55.6088","21.7603","0.8106"
"1.5800","14.9970","56.1852","22.0544","0.8190"
"1.6000","15.1970","56.6989","22.3486","0.8265"
"1.6200","15.3971","57.2589","22.6427","0.8347"
"1.6400","15.5971","57.8724","22.9369","0.8436"
"1.6600","15.7971","58.4157","23.2310","0.8515"
"1.6800","15.9971","58.9378","23.5251","0.8592"
"1.7000","16.1971","59.4886","23.8192","0.8672"
"1.7200","16.3970","60.1151","24.1132","0.8763"
"1.7400","16.5970","60.7094","24.4073","0.8850"
"1.7600","16.7970","61.3185","24.7014","0.8939"
"1.7800","16.9970","61.9216","24.9956","0.9026"
"1.8000","17.1970","62.4831","25.2897","0.9108"
"1.8200","17.3970","63.0650","25.5838","0.9193"
"1.8400","17.5970","63.6106","25.8779","0.9273"
"1.8600","17.7970","64.2267","26.1720","0.9362"
"1.8800","17.9969","64.7089","26.4661","0.9433"
"1.9000","18.1969","65.2087","26.7602","0.9506"
"1.9200","18.3970","65.7672","27.0544","0.9587"
"1.9400","18.5970","66.4210","27.3486","0.9682"
"1.9600","18.7971","66.8844","27.6428","0.9750"
"1.9800","18.9971","67.3464","27.9369","0.9817"
"2.0000","19.1971","67.8988","28.2310","0.9898"
"2.0200","19.3971","68.4664","28.5251","0.9981"
"2.0400","19.5970","69.0537","28.8192","1.0066"
"2.0600","19.7970","69.6564","29.1132","1.0154"
"2.0800","19.9970","70.1679","29.4073","1.0229"
"2.1000","20.1970","70.7096","29.7015","1.0308"
"2.1200","20.3970","71.1368","29.9956","1.0370"
"2.1400","20.5971","71.7298","30.2898","1.0456"
"2.1600","20.7971","72.1976","30.5839","1.0524"
"2.1800","20.9970","72.6896","30.8780","1.0596"
"2.2000","21.1970","73.3021","31.1721","1.0685"
"2.2200","21.3970","73.7691","31.4661","1.0754"
"2.2400","21.5970","74.3242","31.7603","1.0834"
"2.2600","21.7970","74.7788","32.0544","1.0901"
"2.2800","21.9970","75.2514","32.3485","1.0970"
"2.3000","22.1970","75.7170","32.6427","1.1037"
"2.3200","22.3970","76.2655","32.9368","1.1117"
"2.3400","22.5970","76.7345","33.2309","1.1186"
"2.3600","22.7970","77.1239","33.5249","1.1243"
"2.3800","22.9969","77.5439","33.8190","1.1304"
"2.4000","23.1969","78.1328","34.1131","1.1390"
"2.4200","23.3970","78.6469","34.4073","1.1465"
"2.4400","23.5970","79.0521","34.7015","1.1524"
"2.4600","23.7971","79.5735","34.9957","1.1600"
"2.4800","23.9971","80.0129","35.2899","1.1664"
"2.5000","24.1971","80.4911","35.5840","1.1733"
"2.5200","24.3971","81.0240","35.8780","1.1811"
"2.5400","24.5970","81.6017","36.1721","1.1895"
"2.5600","24.7970","82.1021","36.4662","1.1968"
"2.5800","24.9970","82.5091","36.7604","1.2028"
"2.6000","25.1971","82.9158","37.0545","1.2087"
"2.6200","25.3971","83.3266","37.3486","1.2147"
"2.6400","25.5971","83.8090","37.6427","1.2217"
"2.6600","25.7970","84.3539","37.9368","1.2296"
"2.6800","25.9970","84.8295","38.2309","1.2366"
"2.7000","26.1970","85.2968","38.5250","1.2434"
"2.7200","26.3970","85.7984","38.8191","1.2507"
