Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.0000","0.0000","-0.3075","0.0000","-0.0009"
"0.0200","0.0010","-0.1454","0.0067","-0.0004"
"0.0400","0.0152","1.0865","0.1015","0.0030"
"0.0600","0.0596","4.3807","0.3972","0.0123"
"0.0800","0.1411","10.1450","0.9407","0.0285"
"0.1000","0.2597","18.5883","1.7315","0.0522"
"0.1200","0.4131","29.9219","2.7543","0.0840"
"0.1400","0.5972","39.1877","3.9813","0.1100"
"0.1600","0.7965","34.3862","5.3103","0.0965"
"0.1800","0.9956","27.0598","6.6373","0.0759"
"0.2000","1.1930","22.4898","7.9530","0.0631"
"0.2200","1.3920","23.9546","9.2800","0.0672"
"0.2400","1.5936","32.1053","10.6239","0.0901"
"0.2600","1.7962","44.8333","11.9746","0.1258"
"0.2800","1.9982","57.1917","13.3213","0.1605"
"0.3000","2.1991","62.9718","14.6606","0.1767"
"0.3200","2.3992","63.6726","15.9947","0.1787"
"0.3400","2.5990","62.9055","17.3269","0.1765"
"0.3600","2.7989","62.3563","18.6596","0.1750"
"0.3800","2.9990","61.9388","19.9932","0.1738"
"0.4000","3.1991","61.9037","21.3274","0.1737"
"0.4200","3.3992","65.3067","22.6613","0.1832"
"0.4400","3.5992","72.9266","23.9948","0.2046"
"0.4600","3.7992","74.4958","25.3281","0.2090"
"0.4800","3.9992","74.0667","26.6615","0.2078"
"0.5000","4.1993","78.6361","27.9951","0.2206"
"0.5200","4.3993","87.8367","29.3285","0.2465"
"0.5400","4.5993","100.4586","30.6617","0.2819"
"0.5600","4.7992","116.6384","31.9949","0.3273"
"0.5800","4.9992","133.6593","33.3281","0.3750"
"0.5810","5.0092","134.4952","33.3947","0.3774"
