Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.0000","0.0000","-0.4579","0.0000","-0.0013"
"0.0200","0.0010","-0.2846","0.0067","-0.0008"
"0.0400","0.0152","1.5163","0.1011","0.0043"
"0.0600","0.0594","6.8798","0.3960","0.0193"
"0.0800","0.1408","16.2122","0.9384","0.0455"
"0.1000","0.2592","29.6048","1.7278","0.0831"
"0.1200","0.4123","40.8568","2.7489","0.1146"
"0.1400","0.5962","35.6276","3.9744","0.1000"
"0.1600","0.7954","31.0558","5.3025","0.0871"
"0.1800","0.9944","25.2259","6.6292","0.0708"
"0.2000","1.1917","23.7656","7.9450","0.0667"
"0.2200","1.3908","30.1003","9.2723","0.0845"
"0.2400","1.5925","47.3262","10.6165","0.1328"
"0.2600","1.7951","60.9405","11.9674","0.1710"
"0.2800","1.9971","65.0845","13.3142","0.1826"
"0.3000","2.1980","64.7655","14.6535","0.1817"
"0.3200","2.3981","63.8856","15.9876","0.1793"
"0.3400","2.5980","63.4703","17.3198","0.1781"
"0.3600","2.7979","63.2696","18.6524","0.1775"
"0.3800","2.9979","65.4014","19.9860","0.1835"
"0.4000","3.1980","75.9218","21.3201","0.2130"
"0.4200","3.3981","81.3828","22.6541","0.2283"
"0.4400","3.5981","81.6928","23.9876","0.2292"
"0.4600","3.7981","87.4566","25.3209","0.2454"
"0.4800","3.9981","102.1698","26.6543","0.2867"
"0.5000","4.1982","123.2319","27.9879","0.3458"
"0.5200","4.3982","145.9009","29.3213","0.4094"
"0.5400","4.5982","167.4331","30.6545","0.4698"
"0.5600","4.7981","187.8598","31.9876","0.5271"
"0.5800","4.9981","207.2527","33.3208","0.5815"
"0.6000","5.1981","224.9163","34.6541","0.6311"
"0.6200","5.3981","240.7544","35.9873","0.6755"
"0.6400","5.5981","255.4151","37.3206","0.7167"
"0.6600","5.7981","270.7341","38.6540","0.7596"
"0.6800","5.9981","286.4978","39.9875","0.8039"
"0.7000","6.1981","302.4425","41.3209","0.8486"
"0.7200","6.3981","318.2761","42.6542","0.8930"
"0.7400","6.5981","333.9613","43.9874","0.9370"
"0.7600","6.7981","349.3837","45.3206","0.9803"
"0.7800","6.9981","364.5211","46.6541","1.0228"
"0.8000","7.1981","379.2306","47.9876","1.0641"
"0.8200","7.3982","393.5195","49.3212","1.1042"
"0.8400","7.5982","407.3392","50.6547","1.1429"
"0.8600","7.7982","420.7471","51.9880","1.1805"
"0.8800","7.9982","433.7432","53.3212","1.2170"
"0.9000","8.1982","446.3638","54.6544","1.2524"
"0.9200","8.3981","458.5587","55.9876","1.2866"
"0.9400","8.5981","470.4413","57.3209","1.3200"
"0.9600","8.7981","482.0951","58.6543","1.3527"
"0.9800","8.9981","493.4039","59.9876","1.3844"
"1.0000","9.1982","504.3735","61.3211","1.4152"
"1.0200","9.3982","514.9015","62.6546","1.4447"
"1.0400","9.5982","525.2453","63.9880","1.4738"
"1.0600","9.7982","535.4145","65.3212","1.5023"
"1.0800","9.9981","545.4247","66.6543","1.5304"
"1.1000","10.1981","555.2990","67.9874","1.5581"
"1.1200","10.3981","565.0520","69.3208","1.5854"
"1.1400","10.5981","574.6993","70.6543","1.6125"
"1.1600","10.7981","584.1165","71.9876","1.6389"
"1.1800","10.9981","593.3149","73.3208","1.6647"
"1.2000","11.1981","602.1775","74.6539","1.6896"
"1.2200","11.3981","610.8688","75.9873","1.7140"
"1.2400","11.5981","619.3334","77.3207","1.7377"
"1.2600","11.7981","627.4943","78.6541","1.7606"
"1.2800","11.9981","635.5801","79.9876","1.7833"
"1.3000","12.1982","643.5551","81.3213","1.8057"
"1.3200","12.3982","651.2844","82.6549","1.8274"
"1.3400","12.5982","658.9648","83.9882","1.8489"
"1.3600","12.7982","666.4089","85.3215","1.8698"
"1.3800","12.9982","673.6050","86.6545","1.8900"
"1.4000","13.1981","680.6613","87.9876","1.9098"
"1.4200","13.3981","687.7050","89.3208","1.9296"
"1.4400","13.5981","694.6029","90.6542","1.9489"
"1.4600","13.7982","701.2533","91.9878","1.9676"
"1.4800","13.9982","707.8161","93.3213","1.9860"
"1.5000","14.1982","714.3472","94.6546","2.0043"
"1.5200","14.3982","720.7960","95.9878","2.0224"
"1.5400","14.5981","727.1556","97.3210","2.0403"
"1.5600","14.7981","733.3501","98.6542","2.0577"
"1.5800","14.9981","739.3566","99.9875","2.0745"
"1.5810","15.0081","739.6542","100.0541","2.0753"
