Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.0000","0.0000","0.0515","0.0000","0.0008"
"0.0200","0.0010","0.3782","0.0015","0.0056"
"0.0400","0.0151","1.0740","0.0220","0.0160"
"0.0600","0.0592","1.5449","0.0862","0.0230"
"0.0800","0.1403","1.6811","0.2045","0.0250"
"0.1000","0.2586","2.2373","0.3768","0.0333"
"0.1200","0.4116","3.0723","0.6000","0.0457"
"0.1400","0.5957","3.3479","0.8682","0.0498"
"0.1600","0.7955","3.5547","1.1595","0.0529"
"0.1800","0.9949","4.5691","1.4500","0.0680"
"0.2000","1.1921","5.7364","1.7374","0.0854"
"0.2200","1.3908","6.7002","2.0271","0.0997"
"0.2400","1.5922","7.5896","2.3206","0.1129"
"0.2600","1.7947","8.6536","2.6158","0.1288"
"0.2800","1.9966","9.5259","2.9101","0.1418"
"0.3000","2.1974","10.3557","3.2028","0.1541"
"0.3200","2.3975","11.4756","3.4943","0.1708"
"0.3400","2.5973","12.5846","3.7856","0.1873"
"0.3600","2.7972","13.4028","4.0770","0.1994"
"0.3800","2.9973","14.3264","4.3686","0.2132"
"0.4000","3.1975","15.2907","4.6603","0.2275"
"0.4200","3.3976","16.1865","4.9520","0.2409"
"0.4400","3.5976","17.1296","5.2436","0.2549"
"0.4600","3.7976","18.1246","5.5351","0.2697"
"0.4800","3.9976","19.0605","5.8266","0.2836"
"0.5000","4.1977","19.8621","6.1181","0.2956"
"0.5200","4.3977","20.7711","6.4097","0.3091"
"0.5400","4.5977","21.6818","6.7012","0.3226"
"0.5600","4.7977","22.5325","6.9927","0.3353"
"0.5800","4.9977","23.3225","7.2842","0.3471"
"0.6000","5.1976","24.2271","7.5756","0.3605"
"0.6200","5.3976","25.0986","7.8671","0.3735"
"0.6400","5.5976","25.8933","8.1586","0.3853"
"0.6600","5.7976","26.6822","8.4502","0.3971"
"0.6800","5.9976","27.6051","8.7416","0.4108"
"0.7000","6.1976","28.2417","9.0331","0.4203"
"0.7200","6.3976","28.8803","9.3246","0.4298"
"0.7400","6.5976","29.7758","9.6161","0.4431"
"0.7600","6.7976","30.6788","9.9076","0.4565"
"0.7800","6.9976","31.3362","10.1990","0.4663"
"0.8000","7.1976","32.0815","10.4906","0.4774"
"0.8200","7.3976","32.9572","10.7821","0.4904"
"0.8400","7.5976","33.6984","11.0736","0.5015"
"0.8600","7.7976","34.4363","11.3651","0.5124"
"0.8800","7.9976","35.2267","11.6566","0.5242"
"0.9000","8.1976","35.9903","11.9481","0.5356"
"0.9200","8.3976","36.7848","12.2396","0.5474"
"0.9400","8.5976","37.4630","12.5312","0.5575"
"0.9600","8.7977","38.2001","12.8227","0.5685"
"0.9800","8.9977","39.0334","13.1142","0.5809"
"1.0000","9.1977","39.7422","13.4057","0.5914"
"1.0200","9.3977","40.4640","13.6972","0.6021"
"1.0400","9.5977","41.0963","13.9887","0.6116"
"1.0600","9.7977","41.7829","14.2802","0.6218"
"1.0800","9.9976","42.5206","14.5717","0.6327"
"1.1000","10.1976","43.1885","14.8632","0.6427"
"1.1200","10.3976","44.0541","15.1547","0.6556"
"1.1400","10.5976","44.7675","15.4462","0.6662"
"1.1600","10.7976","45.4163","15.7377","0.6758"
"1.1800","10.9977","46.1167","16.0292","0.6863"
"1.2000","11.1977","46.7799","16.3207","0.6961"
"1.2200","11.3976","47.5113","16.6122","0.7070"
"1.2400","11.5976","48.2508","16.9036","0.7180"
"1.2600","11.7976","48.8379","17.1951","0.7268"
"1.2800","11.9976","49.5412","17.4866","0.7372"
"1.3000","12.1976","50.2316","17.7782","0.7475"
"1.3200","12.3976","50.8576","18.0697","0.7568"
"1.3400","12.5976","51.6391","18.3612","0.7684"
"1.3600","12.7976","52.2748","18.6527","0.7779"
"1.3800","12.9976","52.9098","18.9441","0.7873"
"1.4000","13.1976","53.6342","19.2356","0.7981"
"1.4200","13.3976","54.2433","19.5272","0.8072"
"1.4400","13.5976","54.7900","19.8187","0.8153"
"1.4600","13.7977","55.5603","20.1103","0.8268"
"1.4800","13.9977","56.2081","20.4018","0.8364"
"1.5000","14.1977","56.8248","20.6933","0.8456"
"1.5200","14.3977","57.4567","20.9848","0.8550"
"1.5400","14.5976","58.0257","21.2763","0.8635"
"1.5600","14.7976","58.6728","21.5677","0.8731"
"1.5800","14.9976","59.4060","21.8592","0.8840"
"1.6000","15.1976","59.9366","22.1508","0.8919"
"1.6200","15.3977","60.5526","22.4423","0.9011"
"1.6400","15.5977","61.0888","22.7338","0.9091"
"1.6600","15.7977","61.7338","23.0253","0.9187"
"1.6800","15.9977","62.4564","23.3168","0.9294"
"1.7000","16.1977","63.1112","23.6083","0.9392"
"1.7200","16.3976","63.6898","23.8997","0.9478"
"1.7400","16.5976","64.2443","24.1912","0.9560"
"1.7600","16.7976","64.8546","24.4827","0.9651"
"1.7800","16.9976","65.3680","24.7743","0.9727"
"1.8000","17.1976","66.0540","25.0657","0.9829"
"1.8200","17.3976","66.7507","25.3572","0.9933"
"1.8400","17.5976","67.2630","25.6487","1.0009"
"1.8600","17.7976","67.8009","25.9402","1.0089"
"1.8800","17.9976","68.4023","26.2317","1.0179"
"1.9000","18.1976","68.9165","26.5232","1.0255"
"1.9200","18.3976","69.5296","26.8148","1.0347"
"1.9400","18.5977","70.1680","27.1063","1.0442"
"1.9600","18.7977","70.6232","27.3979","1.0509"
"1.9800","18.9977","71.0864","27.6894","1.0578"
"2.0000","19.1977","71.7579","27.9809","1.0678"
"2.0200","19.3977","72.2032","28.2724","1.0745"
"2.0400","19.5976","72.8126","28.5638","1.0835"
"2.0600","19.7976","73.4167","28.8553","1.0925"
"2.0800","19.9976","73.9468","29.1468","1.1004"
"2.1000","20.1976","74.5468","29.4383","1.1093"
"2.1200","20.3976","75.1378","29.7298","1.1181"
"2.1400","20.5977","75.5759","30.0214","1.1246"
"2.1600","20.7977","76.1299","30.3129","1.1329"
"2.1800","20.9976","76.6484","30.6044","1.1406"
"2.2000","21.1976","77.1787","30.8958","1.1485"
"2.2200","21.3976","77.7107","31.1873","1.1564"
"2.2400","21.5976","78.1910","31.4788","1.1636"
"2.2600","21.7976","78.7101","31.7703","1.1713"
"2.2800","21.9976","79.3036","32.0618","1.1801"
"2.3000","22.1976","79.7696","32.3533","1.1870"
"2.3200","22.3976","80.2713","32.6449","1.1945"
"2.3400","22.5976","80.8754","32.9363","1.2035"
"2.3600","22.7976","81.3664","33.2278","1.2108"
"2.3800","22.9975","81.8412","33.5192","1.2179"
"2.4000","23.1975","82.3775","33.8107","1.2259"
"2.4200","23.3976","82.9163","34.1023","1.2339"
"2.4400","23.5977","83.3418","34.3939","1.2402"
"2.4600","23.7977","83.8626","34.6855","1.2480"
"2.4800","23.9977","84.3461","34.9770","1.2552"
"2.5000","24.1977","84.8453","35.2685","1.2626"
"2.5200","24.3977","85.2858","35.5599","1.2691"
"2.5400","24.5976","85.7394","35.8514","1.2759"
"2.5600","24.7976","86.1836","36.1429","1.2825"
"2.5800","24.9976","86.6798","36.4344","1.2899"
"2.6000","25.1977","87.2107","36.7259","1.2978"
"2.6200","25.3977","87.6427","37.0174","1.3042"
"2.6400","25.5977","88.1571","37.3090","1.3119"
"2.6600","25.7976","88.5456","37.6004","1.3176"
"2.6800","25.9976","89.0047","37.8919","1.3245"
"2.7000","26.1976","89.4690","38.1833","1.3314"
"2.7200","26.3976","89.7890","38.4748","1.3361"
"2.7400","26.5976","90.2507","38.7663","1.3430"
"2.7600","26.7976","90.7774","39.0579","1.3509"
"2.7800","26.9976","91.3081","39.3494","1.3588"
"2.8000","27.1976","91.7899","39.6409","1.3659"
"2.8200","27.3976","92.1613","39.9323","1.3714"
"2.8400","27.5976","92.5350","40.2238","1.3770"
"2.8600","27.7976","93.0420","40.5153","1.3846"
