Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.0000","0.0000","-7.7794","0.0000","-0.0218"
"0.0200","0.0010","-7.6324","0.0067","-0.0214"
"0.0400","0.0152","-6.6896","0.1014","-0.0188"
"0.0600","0.0596","-4.1710","0.3972","-0.0117"
"0.0800","0.1412","0.4601","0.9411","0.0013"
"0.1000","0.2599","7.1803","1.7324","0.0201"
"0.1200","0.4133","16.1336","2.7556","0.0453"
"0.1400","0.5974","23.0579","3.9829","0.0647"
"0.1600","0.7968","26.3264","5.3121","0.0739"
"0.1800","0.9959","26.8792","6.6393","0.0754"
"0.2000","1.1933","23.6998","7.9550","0.0665"
"0.2200","1.3923","21.3536","9.2819","0.0599"
"0.2400","1.5938","21.0620","10.6257","0.0591"
"0.2600","1.7964","24.1816","11.9763","0.0678"
"0.2800","1.9984","32.7564","13.3230","0.0919"
"0.3000","2.1993","46.5123","14.6622","0.1305"
"0.3200","2.3994","59.3355","15.9962","0.1665"
"0.3400","2.5993","63.3381","17.3284","0.1777"
"0.3600","2.7992","63.4335","18.6611","0.1780"
"0.3800","2.9992","62.6350","19.9947","0.1757"
"0.4000","3.1993","62.1324","21.3289","0.1743"
"0.4200","3.3994","62.0914","22.6629","0.1742"
"0.4400","3.5995","62.2328","23.9964","0.1746"
"0.4600","3.7994","64.9735","25.3296","0.1823"
"0.4800","3.9995","73.9023","26.6631","0.2074"
"0.5000","4.1995","80.8544","27.9966","0.2269"
"0.5200","4.3995","84.9601","29.3301","0.2384"
"0.5400","4.5995","90.2209","30.6633","0.2531"
"0.5600","4.7995","100.1942","31.9965","0.2811"
"0.5800","4.9995","115.4954","33.3297","0.3241"
"0.6000","5.1994","132.7552","34.6629","0.3725"
"0.6200","5.3994","149.8966","35.9962","0.4206"
"0.6400","5.5994","166.3359","37.3295","0.4667"
"0.6600","5.7994","182.0949","38.6628","0.5109"
"0.6800","5.9994","197.4492","39.9963","0.5540"
"0.7000","6.1994","212.2261","41.3296","0.5955"
"0.7200","6.3994","225.3052","42.6629","0.6322"
"0.7400","6.5994","235.9259","43.9961","0.6620"
"0.7600","6.7994","245.5310","45.3294","0.6889"
"0.7800","6.9994","255.9408","46.6628","0.7181"
"0.8000","7.1995","267.1705","47.9964","0.7496"
"0.8200","7.3995","278.5800","49.3298","0.7817"
"0.8400","7.5995","289.9382","50.6633","0.8135"
"0.8600","7.7995","301.0648","51.9966","0.8447"
"0.8800","7.9995","311.7692","53.3299","0.8748"
"0.9000","8.1995","321.6660","54.6631","0.9025"
"0.9200","8.3995","331.0092","55.9965","0.9288"
"0.9400","8.5995","340.1287","57.3298","0.9543"
"0.9600","8.7995","349.1555","58.6632","0.9797"
"0.9800","8.9995","358.0069","59.9965","1.0045"
"1.0000","9.1995","367.0046","61.3299","1.0298"
"1.0200","9.3995","376.0820","62.6634","1.0552"
"1.0400","9.5995","385.1684","63.9968","1.0807"
"1.0600","9.7995","394.3483","65.3300","1.1065"
"1.0800","9.9995","403.4681","66.6630","1.1321"
"1.0810","10.0095","403.9200","66.7297","1.1333"
