Force,Compressive stress,Compressive strain (Displacement)
(N),(MPa),(%)
"0.0220","0.0000","0.0000"
"0.0213","0.0000","0.0000"
"0.0202","0.0000","595.2863"
"0.0190","0.0000","6021.0072"
"0.0180","0.0000","30088.2111"
"0.0172","0.0000","102921.5454"
"0.0164","0.0000","276801.8799"
"0.0154","0.0000","630092.7734"
"0.0150","0.0000","1268631.2500"
"0.0152","0.0000","2325243.7500"
"0.0159","0.0000","3958296.0938"
"0.0167","0.0000","6349470.7031"
"0.0180","0.0000","9700809.3750"
"0.0208","0.0000","14231487.5000"
"0.0255","0.0000","20174457.8125"
"0.0323","0.0000","27773390.6250"
"0.0408","0.0000","37281290.6250"
"0.0501","0.0000","48959512.5000"
"0.0598","0.0000","63075568.7500"
"0.0693","0.0000","79900987.5000"
"0.0781","0.0000","99709937.5000"
"0.0856","0.0000","122778325.0000"
"0.0919","0.0000","149383000.0000"
"0.0976","0.0000","179800562.5000"
"0.1035","0.0000","214306175.0000"
"0.1098","0.0000","253172000.0000"
"0.1164","0.0000","296665550.0000"
"0.1226","0.0000","345049175.0000"
"0.1283","0.0000","398580050.0000"
"0.1339","0.0000","457510050.0000"
"0.1399","0.0000","522085600.0000"
"0.1465","0.0000","592546400.0000"
"0.1534","0.0000","669124950.0000"
"0.1603","0.0000","752045950.0000"
"0.1669","0.0000","841526100.0000"
"0.1733","0.0000","937774000.0000"
"0.1801","0.0000","1040990400.0000"
"0.1877","0.0000","1151368100.0000"
"0.1957","0.0000","1269092400.0000"
"0.2039","0.0000","1394340300.0000"
"0.2115","0.0000","1527280900.0000"
"0.2180","0.0000","1668074800.0000"
"0.2233","0.0000","1816875200.0000"
"0.2277","0.0000","1973826200.0000"
"0.2318","0.0000","2139063400.0000"
"0.2366","0.0000","2312715800.0000"
"0.2423","0.0000","2494903600.0000"
"0.2488","0.0000","2685739400.0000"
"0.2553","0.0000","2885327600.0000"
"0.2615","0.0000","3093765600.0000"
"0.2669","0.0000","3311144000.0000"
"0.2712","0.0000","3537546000.0000"
"0.2744","0.0000","3773050800.0000"
"0.2766","0.0000","4017728400.0000"
"0.2779","0.0000","4271642800.0000"
"0.2789","0.0000","4534852800.0000"
"0.2801","0.0000","4807409200.0000"
"0.2816","0.0000","5089360400.0000"
"0.2832","0.0000","5380750000.0000"
"0.2846","0.0000","5681615600.0000"
"0.2859","0.0000","5991990400.0000"
"0.2873","0.0000","6311902000.0000"
"0.2892","0.0000","6641374000.0000"
"0.2918","0.0000","6980425600.0000"
"0.2953","0.0000","7329070400.0000"
"0.2999","0.0000","7687325600.0000"
"0.3057","0.0000","8055196800.0000"
"0.3128","0.0000","8432692800.0000"
"0.3207","0.0000","8819818400.0000"
"0.3290","0.0000","9216573600.0000"
"0.3376","0.0000","9622957600.0000"
"0.3466","0.0000","10038967200.0000"
"0.3556","0.0000","10464596000.0000"
"0.3642","0.0000","10899837600.0000"
"0.3714","0.0000","11344681600.0000"
"0.3771","0.0000","11799118400.0000"
"0.3815","0.0000","12263135200.0000"
"0.3851","0.0000","12736718400.0000"
"0.3884","0.0000","13219854400.0000"
"0.3916","0.0000","13712526400.0000"
"0.3949","0.0000","14214715200.0000"
"0.3979","0.0000","14726406400.0000"
"0.4010","0.0000","15247577600.0000"
"0.4044","0.0000","15778208000.0000"
"0.4082","0.0001","16318276800.0000"
"0.4125","0.0001","16867756800.0000"
"0.4174","0.0001","17426630400.0000"
"0.4228","0.0001","17994870400.0000"
"0.4282","0.0001","18572454400.0000"
"0.4334","0.0001","19159358400.0000"
"0.4381","0.0001","19755553600.0000"
"0.4422","0.0001","20361011200.0000"
"0.4458","0.0001","20975710400.0000"
"0.4494","0.0001","21599616000.0000"
"0.4538","0.0001","22232704000.0000"
"0.4593","0.0001","22874948800.0000"
"0.4656","0.0001","23526323200.0000"
"0.4718","0.0001","24186796800.0000"
