Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.0000","0.0000","-0.0339","0.0000","-0.0005"
"0.0200","0.0010","0.3610","0.0015","0.0052"
"0.0400","0.0151","1.0668","0.0224","0.0152"
"0.0600","0.0591","1.4972","0.0879","0.0214"
"0.0800","0.1402","1.6932","0.2086","0.0242"
"0.1000","0.2583","2.0756","0.3844","0.0297"
"0.1200","0.4113","2.6310","0.6120","0.0376"
"0.1400","0.5952","2.9369","0.8858","0.0420"
"0.1600","0.7950","3.1284","1.1831","0.0447"
"0.1800","0.9944","3.9248","1.4797","0.0561"
"0.2000","1.1916","5.1052","1.7732","0.0730"
"0.2200","1.3903","5.8800","2.0689","0.0840"
"0.2400","1.5917","6.5056","2.3686","0.0930"
"0.2600","1.7942","7.4203","2.6700","0.1061"
"0.2800","1.9962","8.2933","2.9705","0.1185"
"0.3000","2.1970","8.9484","3.2693","0.1279"
"0.3200","2.3970","9.8270","3.5670","0.1405"
"0.3400","2.5968","10.7040","3.8643","0.1530"
"0.3600","2.7968","11.6047","4.1618","0.1659"
"0.3800","2.9968","12.4096","4.4596","0.1774"
"0.4000","3.1970","13.2625","4.7574","0.1896"
"0.4200","3.3971","14.0006","5.0552","0.2001"
"0.4400","3.5972","14.6607","5.3529","0.2096"
"0.4600","3.7972","15.5045","5.6506","0.2216"
"0.4800","3.9972","16.3466","5.9482","0.2337"
"0.5000","4.1972","16.9777","6.2458","0.2427"
"0.5200","4.3972","17.7000","6.5435","0.2530"
"0.5400","4.5972","18.5530","6.8411","0.2652"
"0.5600","4.7972","19.1523","7.1387","0.2738"
"0.5800","4.9972","19.8458","7.4363","0.2837"
"0.6000","5.1972","20.6248","7.7339","0.2948"
"0.6200","5.3972","21.3202","8.0315","0.3047"
"0.6400","5.5972","22.0399","8.3291","0.3150"
"0.6600","5.7972","22.7785","8.6268","0.3256"
"0.6800","5.9972","23.5034","8.9244","0.3360"
"0.7000","6.1972","24.1874","9.2220","0.3457"
"0.7200","6.3972","24.8938","9.5196","0.3558"
"0.7400","6.5972","25.6599","9.8172","0.3668"
"0.7600","6.7971","26.2195","10.1148","0.3748"
"0.7800","6.9971","26.8784","10.4124","0.3842"
"0.8000","7.1971","27.6025","10.7100","0.3945"
"0.8200","7.3971","28.2528","11.0076","0.4038"
"0.8400","7.5971","28.9054","11.3053","0.4132"
"0.8600","7.7971","29.6676","11.6029","0.4241"
"0.8800","7.9971","30.2220","11.9005","0.4320"
"0.9000","8.1971","30.8293","12.1981","0.4407"
"0.9200","8.3972","31.6537","12.4958","0.4525"
"0.9400","8.5972","32.2090","12.7934","0.4604"
"0.9600","8.7972","32.7932","13.0910","0.4687"
"0.9800","8.9972","33.5236","13.3887","0.4792"
"1.0000","9.1972","34.0976","13.6863","0.4874"
"1.0200","9.3972","34.7689","13.9840","0.4970"
"1.0400","9.5972","35.5042","14.2816","0.5075"
"1.0600","9.7972","36.0948","14.5791","0.5159"
"1.0800","9.9972","36.7404","14.8767","0.5252"
"1.1000","10.1971","37.3636","15.1743","0.5341"
"1.1200","10.3971","37.9612","15.4719","0.5426"
"1.1400","10.5972","38.6149","15.7696","0.5520"
"1.1600","10.7972","39.2354","16.0672","0.5608"
"1.1800","10.9972","39.8948","16.3649","0.5703"
"1.2000","11.1972","40.5239","16.6625","0.5792"
"1.2200","11.3972","41.1495","16.9601","0.5882"
"1.2400","11.5971","41.7893","17.2576","0.5973"
"1.2600","11.7971","42.2890","17.5552","0.6045"
"1.2800","11.9971","42.8425","17.8528","0.6124"
"1.3000","12.1971","43.4606","18.1505","0.6212"
"1.3200","12.3971","44.0352","18.4481","0.6294"
"1.3400","12.5971","44.7224","18.7458","0.6393"
"1.3600","12.7971","45.2351","19.0434","0.6466"
"1.3800","12.9971","45.8034","19.3409","0.6547"
"1.4000","13.1971","46.5674","19.6385","0.6656"
"1.4200","13.3971","47.1927","19.9362","0.6746"
"1.4400","13.5972","47.7173","20.2339","0.6821"
"1.4600","13.7972","48.2513","20.5316","0.6897"
"1.4800","13.9972","48.7086","20.8292","0.6962"
"1.5000","14.1972","49.3347","21.1268","0.7052"
"1.5200","14.3972","49.9180","21.4244","0.7135"
"1.5400","14.5972","50.4390","21.7220","0.7210"
"1.5600","14.7971","51.0719","22.0195","0.7300"
"1.5800","14.9971","51.6702","22.3172","0.7386"
"1.6000","15.1972","52.2301","22.6148","0.7466"
"1.6200","15.3972","52.8967","22.9125","0.7561"
"1.6400","15.5972","53.4290","23.2101","0.7637"
"1.6600","15.7972","53.9766","23.5078","0.7715"
"1.6800","15.9972","54.5671","23.8054","0.7800"
