Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"2.3200","22.3962","579.9162","149.3082","1.6029"
"2.3400","22.5962","583.8228","150.6415","1.6137"
"2.3600","22.7962","588.0479","151.9749","1.6253"
"2.3800","22.9962","592.3306","153.3083","1.6372"
"2.4000","23.1963","596.3300","154.6417","1.6482"
"2.4200","23.3963","600.6924","155.9751","1.6603"
"2.4400","23.5963","604.5616","157.3086","1.6710"
"2.4600","23.7963","608.5806","158.6419","1.6821"
"2.4800","23.9962","612.5886","159.9749","1.6932"
"2.5000","24.1962","616.3347","161.3081","1.7035"
"2.5200","24.3962","620.2471","162.6414","1.7143"
"2.5400","24.5962","624.3015","163.9747","1.7255"
"2.5600","24.7962","628.3068","165.3080","1.7366"
"2.5800","24.9962","631.8655","166.6414","1.7464"
"2.5810","25.0062","632.0562","166.7081","1.7470"
