Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.0000","0.0000","-16.9299","0.0000","-0.0475"
"0.0200","0.0010","-16.6175","0.0067","-0.0466"
"0.0400","0.0152","-13.7768","0.1016","-0.0387"
"0.0600","0.0596","-8.8481","0.3973","-0.0248"
"0.0800","0.1411","-5.6573","0.9405","-0.0159"
"0.1000","0.2595","-5.9959","1.7302","-0.0168"
"0.1200","0.4126","-5.3540","2.7507","-0.0150"
"0.1400","0.5962","9.7416","3.9749","0.0273"
"0.1600","0.7957","27.6135","5.3046","0.0775"
"0.1800","0.9950","34.7859","6.6335","0.0976"
"0.2000","1.1924","35.7810","7.9492","0.1004"
"0.2200","1.3912","35.0409","9.2747","0.0983"
"0.2400","1.5925","34.3041","10.6170","0.0963"
"0.2600","1.7950","33.9896","11.9669","0.0954"
"0.2800","1.9971","34.0032","13.3137","0.0954"
"0.3000","2.1980","34.2830","14.6534","0.0962"
"0.3200","2.3982","38.9665","15.9877","0.1093"
"0.3400","2.5980","53.1370","17.3199","0.1491"
"0.3600","2.7979","69.8610","18.6524","0.1960"
"0.3800","2.9979","91.0168","19.9859","0.2554"
"0.4000","3.1980","116.9012","21.3200","0.3280"
"0.4200","3.3981","146.0411","22.6539","0.4098"
"0.4400","3.5981","174.8621","23.9874","0.4906"
"0.4600","3.7981","199.8269","25.3207","0.5607"
"0.4800","3.9981","221.3862","26.6542","0.6212"
"0.5000","4.1982","241.1788","27.9877","0.6767"
"0.5200","4.3982","260.1130","29.3211","0.7298"
"0.5400","4.5982","278.5207","30.6543","0.7815"
"0.5600","4.7981","296.1182","31.9875","0.8309"
"0.5800","4.9981","312.8808","33.3206","0.8779"
"0.6000","5.1981","328.8059","34.6539","0.9226"
"0.6200","5.3981","344.4695","35.9872","0.9665"
"0.6400","5.5981","359.5759","37.3206","1.0089"
"0.6600","5.7981","374.0552","38.6540","1.0495"
"0.6800","5.9981","388.0248","39.9874","1.0887"
"0.7000","6.1981","401.5970","41.3208","1.1268"
"0.7200","6.3981","414.7550","42.6541","1.1637"
"0.7400","6.5981","427.4677","43.9873","1.1994"
"0.7600","6.7981","439.9155","45.3206","1.2343"
"0.7800","6.9981","452.0400","46.6540","1.2684"
"0.8000","7.1981","463.9504","47.9875","1.3018"
"0.8200","7.3981","475.7695","49.3210","1.3349"
"0.8400","7.5982","487.2944","50.6545","1.3673"
"0.8600","7.7982","498.5351","51.9879","1.3988"
"0.8800","7.9982","509.3875","53.3212","1.4293"
"0.9000","8.1981","519.9832","54.6543","1.4590"
"0.9200","8.3981","530.3484","55.9876","1.4881"
"0.9400","8.5981","540.4146","57.3210","1.5163"
"0.9600","8.7981","550.1502","58.6543","1.5436"
"0.9800","8.9981","559.5679","59.9876","1.5701"
"1.0000","9.1982","568.8121","61.3210","1.5960"
"1.0200","9.3982","578.0184","62.6545","1.6218"
"1.0400","9.5982","586.9322","63.9879","1.6468"
"1.0600","9.7982","595.4475","65.3211","1.6707"
"1.0800","9.9981","603.8700","66.6542","1.6944"
"1.1000","10.1981","612.2990","67.9872","1.7180"
"1.1200","10.3981","620.5305","69.3206","1.7411"
"1.1400","10.5981","628.6165","70.6542","1.7638"
"1.1600","10.7982","636.4568","71.9877","1.7858"
"1.1800","10.9981","644.3583","73.3208","1.8080"
"1.2000","11.1981","652.2532","74.6538","1.8301"
"1.2200","11.3981","660.0089","75.9871","1.8519"
"1.2400","11.5981","667.6169","77.3205","1.8732"
"1.2600","11.7981","675.0100","78.6540","1.8940"
"1.2800","11.9981","682.3647","79.9875","1.9146"
"1.3000","12.1982","689.6573","81.3211","1.9351"
"1.3200","12.3982","696.7493","82.6548","1.9550"
"1.3400","12.5982","703.8242","83.9882","1.9748"
"1.3600","12.7982","710.6825","85.3214","1.9941"
"1.3800","12.9982","717.4606","86.6544","2.0131"
"1.4000","13.1981","724.1502","87.9875","2.0318"
"1.4200","13.3981","730.6208","89.3207","2.0500"
"1.4400","13.5981","737.0748","90.6541","2.0681"
"1.4600","13.7982","743.3735","91.9877","2.0858"
"1.4800","13.9982","749.6467","93.3212","2.1034"
"1.5000","14.1982","755.8887","94.6546","2.1209"
"1.5200","14.3982","761.9594","95.9877","2.1379"
"1.5400","14.5981","768.0378","97.3208","2.1550"
"1.5600","14.7981","774.1133","98.6540","2.1720"
"1.5800","14.9981","780.0566","99.9873","2.1887"
"1.6000","15.1981","786.0289","101.3207","2.2055"
"1.6200","15.3981","791.7841","102.6541","2.2216"
"1.6400","15.5981","797.4592","103.9875","2.2375"
"1.6600","15.7981","803.1459","105.3208","2.2535"
"1.6800","15.9981","808.7327","106.6541","2.2692"
"1.7000","16.1981","814.2058","107.9872","2.2845"
"1.7200","16.3980","819.5967","109.3203","2.2997"
"1.7400","16.5980","824.8822","110.6537","2.3145"
"1.7600","16.7981","830.1039","111.9875","2.3291"
"1.7800","16.9982","835.2892","113.3213","2.3437"
"1.8000","17.1982","840.4731","114.6547","2.3582"
"1.8200","17.3982","845.6088","115.9879","2.3726"
"1.8400","17.5982","850.7159","117.3212","2.3870"
"1.8600","17.7982","855.9388","118.6545","2.4016"
"1.8800","17.9982","861.0907","119.9877","2.4161"
"1.9000","18.1981","866.0618","121.3209","2.4300"
"1.9200","18.3981","870.9796","122.6542","2.4438"
"1.9400","18.5982","875.8004","123.9877","2.4574"
"1.9600","18.7982","880.4722","125.3211","2.4705"
"1.9800","18.9982","885.1334","126.6546","2.4835"
"2.0000","19.1982","889.6719","127.9880","2.4963"
"2.0200","19.3982","894.1347","129.3212","2.5088"
"2.0400","19.5981","898.3934","130.6542","2.5207"
"2.0600","19.7981","902.6678","131.9872","2.5327"
"2.0800","19.9981","906.8922","133.3206","2.5446"
"2.1000","20.1981","911.1394","134.6542","2.5565"
"2.1200","20.3982","915.2811","135.9877","2.5681"
"2.1400","20.5982","919.4651","137.3211","2.5799"
"2.1600","20.7981","923.6027","138.6543","2.5915"
"2.1800","20.9981","927.6860","139.9875","2.6029"
"2.2000","21.1981","931.7100","141.3207","2.6142"
"2.2200","21.3981","935.6948","142.6538","2.6254"
"2.2400","21.5981","939.7080","143.9871","2.6367"
"2.2600","21.7981","943.7129","145.3205","2.6479"
"2.2800","21.9981","947.6924","146.6542","2.6591"
"2.3000","22.1982","951.5402","147.9879","2.6699"
