Time,Displacement,Force,Tensile strain (Displacement),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.0000","0.0000","9.1191","0.0000","0.0256"
"0.0200","0.0010","9.3504","0.0067","0.0262"
"0.0400","0.0152","11.8625","0.1013","0.0333"
"0.0600","0.0594","19.0557","0.3963","0.0535"
"0.0800","0.1409","30.1854","0.9390","0.0847"
"0.1000","0.2593","42.9249","1.7286","0.1204"
"0.1200","0.4124","49.9002","2.7495","0.1400"
"0.1400","0.5961","51.0787","3.9739","0.1433"
"0.1600","0.7950","50.3436","5.3002","0.1413"
"0.1800","0.9939","49.4406","6.6258","0.1387"
"0.2000","1.1913","48.9856","7.9417","0.1374"
"0.2200","1.3905","48.8686","9.2698","0.1371"
"0.2400","1.5922","52.4008","10.6148","0.1470"
"0.2600","1.7949","56.9614","11.9662","0.1598"
"0.2800","1.9970","56.7581","13.3134","0.1593"
"0.3000","2.1979","61.2221","14.6528","0.1718"
"0.3200","2.3980","73.3920","15.9869","0.2059"
"0.3400","2.5979","92.8886","17.3191","0.2606"
"0.3600","2.7978","118.7493","18.6517","0.3332"
"0.3800","2.9978","147.7455","19.9853","0.4145"
"0.4000","3.1979","176.3283","21.3195","0.4947"
"0.4200","3.3980","201.9484","22.6533","0.5666"
"0.4400","3.5980","224.4655","23.9868","0.6298"
"0.4600","3.7980","244.8828","25.3201","0.6871"
"0.4800","3.9980","264.0354","26.6536","0.7408"
"0.5000","4.1981","281.9786","27.9871","0.7912"
"0.5200","4.3981","298.6610","29.3205","0.8380"
"0.5400","4.5981","314.4240","30.6538","0.8822"
"0.5600","4.7980","329.4916","31.9870","0.9245"
"0.5800","4.9980","343.7357","33.3202","0.9645"
"0.5810","5.0080","344.4271","33.3868","0.9664"
